tool_mode,n,mean_iou,mean_dice,mean_precision,mean_recall,qc_pass_rate,iou_ci_lower,iou_ci_upper,dice_ci_lower,dice_ci_upper
closed,10,0.1,0.1,0.0,0.0,0.9,0.0,0.3,0.0,0.3
image,10,0.2,0.2,0.0,0.0,0.8,0.0,0.5,0.0,0.5
text,10,0.2,0.2,0.0,0.0,0.8,0.0,0.4,0.0,0.5
text_image,10,0.1,0.1,0.0,0.0,0.9,0.0,0.3,0.0,0.3
