run_id,image_id,image_name,split,tool_mode,query_policy,snapshot_policy,scope_policy,thinking_level,replicate_idx,iou,dice,precision,recall,qc_pass,selected_attempt_index,retrieval_duplicate,retrieval_mask_source,audit_unavailable,analysis_primary,analysis_sensitivity,run_record_path,mask_path
nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803,1.2.276.0.7230010.3.1.4.8323329.10005.1517875220.958951,1.2.276.0.7230010.3.1.4.8323329.10005.1517875220.958951.png,unknown,image,model_generated,live_with_caching,open_web,minimal,0,0.0,0.0,0.0,0.0,True,1,False,False,True,True,True,D:\Projects\gemini_image_segmentation\artifacts_nanobanana\1.2.276.0.7230010.3.1.4.8323329.10005.1517875220.958951\image\replicate_0\nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803\run_record.json,D:\Projects\gemini_image_segmentation\artifacts_nanobanana\1.2.276.0.7230010.3.1.4.8323329.10005.1517875220.958951\image\replicate_0\nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803\final\final_mask_3c0860025a7f70a0.png
nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803,1.2.276.0.7230010.3.1.4.8323329.10005.1517875220.958951,1.2.276.0.7230010.3.1.4.8323329.10005.1517875220.958951.png,unknown,text_image,model_generated,live_with_caching,open_web,minimal,0,0.0,0.0,0.0,0.0,True,2,False,False,True,True,True,D:\Projects\gemini_image_segmentation\artifacts_nanobanana\1.2.276.0.7230010.3.1.4.8323329.10005.1517875220.958951\text_image\replicate_0\nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803\run_record.json,D:\Projects\gemini_image_segmentation\artifacts_nanobanana\1.2.276.0.7230010.3.1.4.8323329.10005.1517875220.958951\text_image\replicate_0\nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803\final\final_mask_eb610d3adb26b2e5.png
nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803,1.2.276.0.7230010.3.1.4.8323329.10006.1517875220.954474,1.2.276.0.7230010.3.1.4.8323329.10006.1517875220.954474.png,unknown,closed,model_generated,live_with_caching,open_web,minimal,0,0.0,0.0,0.0,0.0,True,2,False,False,True,True,True,D:\Projects\gemini_image_segmentation\artifacts_nanobanana\1.2.276.0.7230010.3.1.4.8323329.10006.1517875220.954474\closed\replicate_0\nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803\run_record.json,D:\Projects\gemini_image_segmentation\artifacts_nanobanana\1.2.276.0.7230010.3.1.4.8323329.10006.1517875220.954474\closed\replicate_0\nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803\final\final_mask_cef5efaef6e4a15c.png
nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803,1.2.276.0.7230010.3.1.4.8323329.10006.1517875220.954474,1.2.276.0.7230010.3.1.4.8323329.10006.1517875220.954474.png,unknown,text,model_generated,live_with_caching,open_web,minimal,0,0.0,0.0,0.0,0.0,True,1,False,False,True,True,True,D:\Projects\gemini_image_segmentation\artifacts_nanobanana\1.2.276.0.7230010.3.1.4.8323329.10006.1517875220.954474\text\replicate_0\nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803\run_record.json,D:\Projects\gemini_image_segmentation\artifacts_nanobanana\1.2.276.0.7230010.3.1.4.8323329.10006.1517875220.954474\text\replicate_0\nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803\final\final_mask_a95ba5deef092900.png
nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803,1.2.276.0.7230010.3.1.4.8323329.10006.1517875220.954474,1.2.276.0.7230010.3.1.4.8323329.10006.1517875220.954474.png,unknown,image,model_generated,live_with_caching,open_web,minimal,0,0.0,0.0,0.0,0.0,True,2,False,False,True,True,True,D:\Projects\gemini_image_segmentation\artifacts_nanobanana\1.2.276.0.7230010.3.1.4.8323329.10006.1517875220.954474\image\replicate_0\nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803\run_record.json,D:\Projects\gemini_image_segmentation\artifacts_nanobanana\1.2.276.0.7230010.3.1.4.8323329.10006.1517875220.954474\image\replicate_0\nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803\final\final_mask_e41054dc07a52cf3.png
nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803,1.2.276.0.7230010.3.1.4.8323329.10006.1517875220.954474,1.2.276.0.7230010.3.1.4.8323329.10006.1517875220.954474.png,unknown,text_image,model_generated,live_with_caching,open_web,minimal,0,0.0,0.0,0.0,0.0,True,2,False,False,True,True,True,D:\Projects\gemini_image_segmentation\artifacts_nanobanana\1.2.276.0.7230010.3.1.4.8323329.10006.1517875220.954474\text_image\replicate_0\nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803\run_record.json,D:\Projects\gemini_image_segmentation\artifacts_nanobanana\1.2.276.0.7230010.3.1.4.8323329.10006.1517875220.954474\text_image\replicate_0\nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803\final\final_mask_162e905904f91a62.png
nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803,1.2.276.0.7230010.3.1.4.8323329.10007.1517875220.954767,1.2.276.0.7230010.3.1.4.8323329.10007.1517875220.954767.png,unknown,closed,model_generated,live_with_caching,open_web,minimal,0,0.0,0.0,0.0,0.0,True,1,False,False,True,True,True,D:\Projects\gemini_image_segmentation\artifacts_nanobanana\1.2.276.0.7230010.3.1.4.8323329.10007.1517875220.954767\closed\replicate_0\nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803\run_record.json,D:\Projects\gemini_image_segmentation\artifacts_nanobanana\1.2.276.0.7230010.3.1.4.8323329.10007.1517875220.954767\closed\replicate_0\nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803\final\final_mask_4e79e5a48df909dd.png
nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803,1.2.276.0.7230010.3.1.4.8323329.10007.1517875220.954767,1.2.276.0.7230010.3.1.4.8323329.10007.1517875220.954767.png,unknown,text,model_generated,live_with_caching,open_web,minimal,0,0.0,0.0,0.0,0.0,True,1,False,False,True,True,True,D:\Projects\gemini_image_segmentation\artifacts_nanobanana\1.2.276.0.7230010.3.1.4.8323329.10007.1517875220.954767\text\replicate_0\nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803\run_record.json,D:\Projects\gemini_image_segmentation\artifacts_nanobanana\1.2.276.0.7230010.3.1.4.8323329.10007.1517875220.954767\text\replicate_0\nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803\final\final_mask_2df3f526e85cc73e.png
nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803,1.2.276.0.7230010.3.1.4.8323329.10007.1517875220.954767,1.2.276.0.7230010.3.1.4.8323329.10007.1517875220.954767.png,unknown,image,model_generated,live_with_caching,open_web,minimal,0,0.0,0.0,0.0,0.0,True,1,False,False,True,True,True,D:\Projects\gemini_image_segmentation\artifacts_nanobanana\1.2.276.0.7230010.3.1.4.8323329.10007.1517875220.954767\image\replicate_0\nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803\run_record.json,D:\Projects\gemini_image_segmentation\artifacts_nanobanana\1.2.276.0.7230010.3.1.4.8323329.10007.1517875220.954767\image\replicate_0\nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803\final\final_mask_930c22e45afe62c9.png
nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803,1.2.276.0.7230010.3.1.4.8323329.10007.1517875220.954767,1.2.276.0.7230010.3.1.4.8323329.10007.1517875220.954767.png,unknown,text_image,model_generated,live_with_caching,open_web,minimal,0,1.0,1.0,0.0,0.0,False,1,False,False,True,True,True,D:\Projects\gemini_image_segmentation\artifacts_nanobanana\1.2.276.0.7230010.3.1.4.8323329.10007.1517875220.954767\text_image\replicate_0\nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803\run_record.json,D:\Projects\gemini_image_segmentation\artifacts_nanobanana\1.2.276.0.7230010.3.1.4.8323329.10007.1517875220.954767\text_image\replicate_0\nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803\final\final_mask_b8e2552ec0978e0d.png
nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803,1.2.276.0.7230010.3.1.4.8323329.10008.1517875220.957633,1.2.276.0.7230010.3.1.4.8323329.10008.1517875220.957633.png,unknown,closed,model_generated,live_with_caching,open_web,minimal,0,0.0,0.0,0.0,0.0,True,2,False,False,True,True,True,D:\Projects\gemini_image_segmentation\artifacts_nanobanana\1.2.276.0.7230010.3.1.4.8323329.10008.1517875220.957633\closed\replicate_0\nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803\run_record.json,D:\Projects\gemini_image_segmentation\artifacts_nanobanana\1.2.276.0.7230010.3.1.4.8323329.10008.1517875220.957633\closed\replicate_0\nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803\final\final_mask_d4b4eaad3b2ff122.png
nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803,1.2.276.0.7230010.3.1.4.8323329.10008.1517875220.957633,1.2.276.0.7230010.3.1.4.8323329.10008.1517875220.957633.png,unknown,text,model_generated,live_with_caching,open_web,minimal,0,0.0,0.0,0.0,0.0,True,2,False,False,True,True,True,D:\Projects\gemini_image_segmentation\artifacts_nanobanana\1.2.276.0.7230010.3.1.4.8323329.10008.1517875220.957633\text\replicate_0\nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803\run_record.json,D:\Projects\gemini_image_segmentation\artifacts_nanobanana\1.2.276.0.7230010.3.1.4.8323329.10008.1517875220.957633\text\replicate_0\nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803\final\final_mask_233def1f7fbfda18.png
nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803,1.2.276.0.7230010.3.1.4.8323329.10008.1517875220.957633,1.2.276.0.7230010.3.1.4.8323329.10008.1517875220.957633.png,unknown,image,model_generated,live_with_caching,open_web,minimal,0,0.0,0.0,0.0,0.0,True,1,False,False,True,True,True,D:\Projects\gemini_image_segmentation\artifacts_nanobanana\1.2.276.0.7230010.3.1.4.8323329.10008.1517875220.957633\image\replicate_0\nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803\run_record.json,D:\Projects\gemini_image_segmentation\artifacts_nanobanana\1.2.276.0.7230010.3.1.4.8323329.10008.1517875220.957633\image\replicate_0\nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803\final\final_mask_03851eeadc6017fe.png
nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803,1.2.276.0.7230010.3.1.4.8323329.10008.1517875220.957633,1.2.276.0.7230010.3.1.4.8323329.10008.1517875220.957633.png,unknown,text_image,model_generated,live_with_caching,open_web,minimal,0,0.0,0.0,0.0,0.0,True,1,False,False,True,True,True,D:\Projects\gemini_image_segmentation\artifacts_nanobanana\1.2.276.0.7230010.3.1.4.8323329.10008.1517875220.957633\text_image\replicate_0\nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803\run_record.json,D:\Projects\gemini_image_segmentation\artifacts_nanobanana\1.2.276.0.7230010.3.1.4.8323329.10008.1517875220.957633\text_image\replicate_0\nanobanana_pneumothorax_smoke_desc_neg_stage0_20260301-215803\final\final_mask_412acdd94a69b7fb.png
