tool_mode,n,mean_iou,mean_dice,mean_precision,mean_recall,qc_pass_rate,iou_ci_lower,iou_ci_upper,dice_ci_lower,dice_ci_upper
closed,10,0.8039361801858064,0.8765298633907183,0.9702514857347785,0.8303653488323286,0.0,0.6704375713934493,0.8965626740739059,0.7774680506393618,0.9484311114915978
image,10,0.7043464245464999,0.7850818992907277,0.8011486162969172,0.8915250603451346,0.0,0.5151676521837785,0.8715160858762666,0.6171830871622972,0.9263984893586708
text,10,0.7296228540017553,0.8233205310850066,0.9057234267940852,0.819697419479404,0.0,0.5951797992173736,0.8557177055116463,0.7198940963085217,0.9237753290387993
text_image,10,0.7501816315463852,0.8209278202246828,0.819950712702925,0.927251735153537,0.0,0.572502018630804,0.897293563491976,0.6621456420781742,0.9387447942031761
