tool_mode,n,mean_iou,mean_dice,mean_precision,mean_recall,qc_pass_rate,iou_ci_lower,iou_ci_upper,dice_ci_lower,dice_ci_upper
closed,10,0.8039361801858064,0.8765298633907183,0.9702514857347785,0.8303653488323286,0.0,0.6706288297575612,0.9075182232463074,0.7761375510623344,0.9462156046687114
image,10,0.7043464245464999,0.7850818992907277,0.8011486162969172,0.8915250603451346,0.0,0.5175322241061455,0.8643901926824855,0.611931144962581,0.9203983450261941
text,10,0.7296228540017553,0.8233205310850066,0.9057234267940852,0.819697419479404,0.0,0.590276879467339,0.8602654527607354,0.7177859220242788,0.9186970389046232
text_image,10,0.7501816315463852,0.8209278202246828,0.819950712702925,0.927251735153537,0.0,0.5750245440753917,0.8953118378742564,0.6424774572779521,0.9414881162110578
