tool_mode,n,mean_iou,mean_dice,mean_precision,mean_recall,qc_pass_rate,iou_ci_lower,iou_ci_upper,dice_ci_lower,dice_ci_upper
closed,10,0.007231862723230881,0.013488272122804706,0.007671196145080009,0.055806081468732074,1.0,0.0,0.021695588169692644,0.0,0.04046481636841412
image,10,0.013071375681352632,0.024713432163572014,0.013764843660704813,0.12898939694258535,0.9,0.0,0.02899823769857086,0.004866626228999449,0.05885995259057344
text,10,0.042183986833093184,0.06613690909566491,0.056946382141692196,0.1586982250783032,1.0,0.0,0.1108861289286636,0.004817449236485966,0.16369875240389553
text_image,10,0.009523122562490403,0.018134475622888124,0.011210715212583832,0.06947117794431878,0.9,0.0,0.022656864594007356,0.0,0.044659528730021915
